model,condition,task,adherence,override_resistance,trial
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,38
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,39
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,40
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,41
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,42
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,43
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,44
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,45
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,46
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,47
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,48
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,49
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,50
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,51
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,52
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,53
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,54
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,55
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,56
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,57
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,58
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,59
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,60
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,61
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,62
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,63
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,64
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,65
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,66
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,67
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,68
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,69
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,70
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,71
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,72
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,73
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,74
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,75
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,76
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,77
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,78
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,79
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,80
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,81
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,82
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,83
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,84
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,85
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,86
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,87
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,88
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,89
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,90
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,91
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,92
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,93
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,94
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,95
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,96
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,97
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,98
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,99
mistralai/Mistral-7B-Instruct-v0.2,C0,T1,1.0,,100
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,101
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,102
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,103
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,104
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,105
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,106
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,107
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,108
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,109
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,110
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,111
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,112
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,113
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,114
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,115
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,116
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,117
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,118
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,119
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,120
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,121
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,122
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,123
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,124
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,125
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,126
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,127
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,128
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,129
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,130
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,131
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,132
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,133
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,134
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,135
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,136
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,137
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,138
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,139
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,140
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,141
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,142
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,143
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,144
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,145
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,146
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,147
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,148
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,149
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,150
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,151
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,152
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,153
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,154
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,155
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,156
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,157
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,158
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,159
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,160
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,161
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,162
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,163
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,164
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,165
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,166
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,167
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,168
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,169
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,170
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,171
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,172
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,173
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,174
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,175
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,176
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,177
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,178
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,179
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,180
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,181
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,182
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,183
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,184
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,185
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,186
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,187
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,188
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,189
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,190
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,191
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,192
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,193
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,194
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,195
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,196
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,197
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,198
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,199
mistralai/Mistral-7B-Instruct-v0.2,C0,T2,1.0,,200
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,201
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,202
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,203
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,204
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,205
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,206
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,207
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,208
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,209
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,210
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,211
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.7,,212
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,213
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,214
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.9,,215
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,216
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.7,,217
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.4,,218
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,219
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,220
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.9,,221
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.7,,222
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,223
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.9,,224
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,225
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,226
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,227
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.7,,228
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,229
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,230
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.7,,231
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,232
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8333333333333334,,233
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,234
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,235
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,236
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.9,,237
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.7,,238
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.4,,239
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,240
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.5,,241
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.4,,242
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,243
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,244
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,245
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.4,,246
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,247
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,248
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,249
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,250
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,251
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.4333333333333333,,252
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,253
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,254
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,255
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,256
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,257
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.9,,258
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.4,,259
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,260
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,261
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.7,,262
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,263
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.9,,264
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,265
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.7,,266
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,267
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.5,,268
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,269
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,270
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.26666666666666666,,271
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,272
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.2,,273
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.1,,274
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,275
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,276
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,277
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.9,,278
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.9,,279
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,280
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,281
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.7,,282
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,283
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,284
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,285
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,286
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,287
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,288
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,289
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,290
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,291
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8666666666666666,,292
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,1.0,,293
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.5,,294
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.9,,295
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,296
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,297
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.4666666666666667,,298
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.6,,299
mistralai/Mistral-7B-Instruct-v0.2,C1,T1,0.8,,300
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5,,301
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.75,,302
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.7,,303
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.6,,304
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.65,,305
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.7833333333333333,,306
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.8,,307
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.85,,308
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.7333333333333333,,309
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5833333333333333,,310
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.25,,311
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.4833333333333333,,312
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.75,,313
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.6,,314
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.8,,315
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.6,,316
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.8,,317
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.9,,318
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.8,,319
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5,,320
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.65,,321
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.75,,322
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.45,,323
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5333333333333333,,324
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.6,,325
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.65,,326
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5833333333333333,,327
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.65,,328
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.7833333333333333,,329
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5,,330
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.7,,331
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.95,,332
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.75,,333
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.7,,334
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.7,,335
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.4,,336
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.9,,337
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.65,,338
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.45,,339
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5,,340
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.7833333333333333,,341
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.6833333333333333,,342
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.7,,343
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5,,344
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5,,345
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.65,,346
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.9,,347
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.7,,348
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.75,,349
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.4833333333333333,,350
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.6833333333333333,,351
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.3,,352
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.75,,353
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5,,354
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.55,,355
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.6333333333333333,,356
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.7,,357
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5166666666666667,,358
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.55,,359
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5833333333333333,,360
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.55,,361
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.55,,362
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5,,363
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.75,,364
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.8,,365
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.4,,366
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5,,367
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.55,,368
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5,,369
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.55,,370
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.55,,371
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.6,,372
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.6,,373
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.55,,374
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.75,,375
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5666666666666667,,376
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.75,,377
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.75,,378
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.7,,379
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.6333333333333333,,380
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.6,,381
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.5,,382
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.6,,383
mistralai/Mistral-7B-Instruct-v0.2,C1,T2,0.8,,384
